"binomil","X","Y","scientificName"
"Baronia brevicornis",-893552.181526246,-2487544.94051098,"Baronia brevicornis"
"Parides alopius",-893552.181526246,-2487544.94051098,"Parides alopius"
"Eucheira socialis",-893552.181526246,-2487544.94051098,"Eucheira socialis"
"Agathymus fieldi",-893552.181526246,-2487544.94051098,"Agathymus fieldi"
"Amblyscirtes fluonia",-893552.181526246,-2487544.94051098,"Amblyscirtes fluonia"
"Adelpha barnesia",-893552.181526246,-2487544.94051098,"Adelpha barnesia"
"Adelpha serpa",-893552.181526246,-2487544.94051098,"Adelpha serpa"
"Adelotypa eudocia",-893552.181526246,-2487544.94051098,"Adelotypa eudocia"
"Chlosyne marina",-893552.181526246,-2487544.94051098,"Chlosyne marina"
"Chlosyne marina",-893552.181526246,-2487544.94051098,"Chlosyne marina"
"Chlosyne rosita",-893552.181526246,-2487544.94051098,"Chlosyne rosita"
"Chlosyne rosita",-893552.181526246,-2487544.94051098,"Chlosyne rosita"
"Adelpha donysa",-893552.181526246,-2487544.94051098,"Adelpha donysa"
"Adelpha basiloides",-893552.181526246,-2487544.94051098,"Adelpha basiloides"
"Adelpha bredowii",-893552.181526246,-2487544.94051098,"Adelpha bredowii"
"Chlosyne lacinia",-893552.181526246,-2487544.94051098,"Chlosyne lacinia"
"Chlosyne melanarge",-893552.181526246,-2487544.94051098,"Chlosyne melanarge"
"Adelpha lycorias",-893552.181526246,-2487544.94051098,"Adelpha lycorias"
"Amblyscirtes fimbriata",-893552.181526246,-2487544.94051098,"Amblyscirtes fimbriata"
"Amblyscirtes raphaeli",-893552.181526246,-2487544.94051098,"Amblyscirtes raphaeli"
"Antigonus emorsa",-893552.181526246,-2487544.94051098,"Antigonus emorsa"
"Antigonus funebris",-893552.181526246,-2487544.94051098,"Antigonus funebris"
"Adelpha fessonia",-893552.181526246,-2487544.94051098,"Adelpha fessonia"
"Adelpha iphicleola",-893552.181526246,-2487544.94051098,"Adelpha iphicleola"
"Adelpha iphiclus",-893552.181526246,-2487544.94051098,"Adelpha iphiclus"
"Anartia fatima",-893552.181526246,-2487544.94051098,"Anartia fatima"
"Anartia jatrophae",-893552.181526246,-2487544.94051098,"Anartia jatrophae"
"Apodemia palmerii",-893552.181526246,-2487544.94051098,"Apodemia palmerii"
"Glutophrissa drusilla",-893552.181526246,-2487544.94051098,"Glutophrissa drusilla"
"Catonephele numilia",-893552.181526246,-2487544.94051098,"Catonephele numilia"
"Amblyscirtes folia",-893552.181526246,-2487544.94051098,"Amblyscirtes folia"
"Anthocharis limonea",-893552.181526246,-2487544.94051098,"Anthocharis limonea"
"Atrytonopsis edwardsi",-893552.181526246,-2487544.94051098,"Atrytonopsis edwardsi"
"Calephelis mexicana",-893552.181526246,-2487544.94051098,"Calephelis mexicana"
"Calephelis montezuma",-893552.181526246,-2487544.94051098,"Calephelis montezuma"
"Adelpha paraena",-893552.181526246,-2487544.94051098,"Adelpha paraena"
"Caligo memnon",-893552.181526246,-2487544.94051098,"Caligo memnon"
"Astraptes enotrus",-893552.181526246,-2487544.94051098,"Astraptes enotrus"
"Astraptes fulgerator",-893552.181526246,-2487544.94051098,"Astraptes fulgerator"
"Astraptes alector",-893552.181526246,-2487544.94051098,"Astraptes alector"
"Autochton pseudocellus",-893552.181526246,-2487544.94051098,"Autochton pseudocellus"
"Bolla giselus",-893552.181526246,-2487544.94051098,"Bolla giselus"
"Adelpha leuceria",-893552.181526246,-2487544.94051098,"Adelpha leuceria"
"Adelpha naxia",-893552.181526246,-2487544.94051098,"Adelpha naxia"
"Adelpha paroeca",-893552.181526246,-2487544.94051098,"Adelpha paroeca"
"Adelpha phylaca",-893552.181526246,-2487544.94051098,"Adelpha phylaca"
